iter	Quantile:alpha=0.35
842	0.0772667753
843	0.07725144673
844	0.07721822954
845	0.07720638884
846	0.07718689886
847	0.07716615055
848	0.07715953272
849	0.07714033304
850	0.07711534881
851	0.07710407347
852	0.07708060642
853	0.07705676046
854	0.07704011642
855	0.0770288666
856	0.07702094088
857	0.07700097233
858	0.0769913416
859	0.07698022435
860	0.07696343342
861	0.07694447226
862	0.0769344145
863	0.07691010768
864	0.07688954899
865	0.07687385396
866	0.07684535203
867	0.07682726315
868	0.07680789736
869	0.07679248799
870	0.07676880015
871	0.07675038537
872	0.07672743173
873	0.07670805456
874	0.07668431589
875	0.07667530664
876	0.07666126759
877	0.07663430316
878	0.07658344875
879	0.07657630513
880	0.07655054556
881	0.07652508552
882	0.07650732221
883	0.07649642036
884	0.07647475656
885	0.07645747417
886	0.07644484164
887	0.07643215467
888	0.0764075764
889	0.07639614045
890	0.07637116185
891	0.07635757388
892	0.07633642862
893	0.07631947808
894	0.07629638363
895	0.07627113465
896	0.07625227327
897	0.07624036161
898	0.07622130588
899	0.07621311844
