iter	Passed	Remaining
401	16771	20776
402	16811	20732
403	16840	20675
404	16889	20642
405	16928	20597
406	16961	20545
407	16994	20493
408	17030	20445
409	17062	20391
410	17107	20353
411	17144	20307
412	17175	20252
413	17210	20203
414	17250	20160
415	17281	20106
416	17316	20057
417	17351	20008
418	17382	19954
419	17420	19908
420	17467	19874
421	17497	19819
422	17537	19776
423	17570	19725
424	17607	19678
425	17643	19631
426	17672	19576
427	17711	19532
428	17747	19484
429	17779	19433
430	17808	19378
431	17842	19329
432	17871	19274
433	17914	19235
434	17949	19187
435	17982	19137
436	18017	19089
437	18050	19039
438	18083	18989
439	18117	18940
440	18149	18890
441	18182	18840
442	18213	18788
443	18248	18741
444	18286	18697
445	18315	18644
446	18357	18604
447	18386	18550
448	18417	18499
449	18452	18452
450	18493	18411
451	18526	18362
452	18559	18313
453	18596	18268
454	18631	18221
455	18668	18177
456	18697	18124
457	18732	18078
458	18760	18025
459	18792	17975
460	18827	17928
461	18856	17876
462	18899	17838
463	18939	17796
464	18968	17744
465	18995	17691
466	19032	17647
467	19066	17599
468	19108	17560
469	19139	17510
470	19174	17464
471	19210	17419
472	19245	17374
473	19282	17329
474	19313	17280
475	19349	17235
476	19378	17185
477	19415	17141
478	19459	17103
479	19489	17053
480	19524	17007
481	19557	16960
482	19593	16915
483	19633	16874
484	19676	16836
485	19705	16785
486	19739	16739
487	19774	16694
488	19818	16657
489	19850	16609
490	19879	16559
491	19907	16508
492	19946	16467
493	19988	16427
494	20025	16384
495	20060	16339
496	20096	16295
497	20121	16242
498	20157	16198
499	20193	16154
500	20231	16112
501	20264	16066
502	20298	16020
503	20334	15976
504	20376	15938
505	20404	15888
506	20438	15842
507	20470	15795
508	20505	15751
509	20537	15704
510	20587	15672
511	20621	15627
512	20655	15581
513	20691	15538
514	20726	15494
515	20761	15450
516	20796	15406
517	20831	15361
518	20865	15317
519	20899	15272
520	20927	15223
521	20963	15180
522	21004	15140
523	21037	15095
524	21069	15049
525	21102	15004
526	21146	14966
527	21180	14922
528	21208	14874
529	21242	14829
530	21273	14783
531	21307	14739
532	21343	14696
533	21373	14649
534	21405	14603
535	21439	14559
536	21478	14518
537	21505	14470
538	21541	14427
539	21580	14387
540	21618	14345
541	21651	14301
542	21685	14257
543	21722	14215
544	21769	14180
545	21797	14132
546	21832	14089
547	21865	14044
548	21899	14001
549	21929	13955
550	21969	13915
551	22015	13879
552	22043	13831
553	22078	13788
554	22116	13748
555	22154	13707
556	22195	13667
557	22229	13624
558	22261	13579
559	22293	13535
560	22335	13496
561	22369	13453
562	22404	13410
563	22437	13367
564	22472	13324
565	22508	13282
566	22550	13243
567	22578	13197
568	22611	13153
569	22649	13112
570	22675	13065
571	22710	13022
572	22762	12989
573	22798	12948
574	22831	12904
575	22864	12861
576	22909	12824
577	22940	12779
578	22976	12738
579	23010	12695
580	23054	12658
581	23090	12616
582	23135	12579
583	23160	12532
584	23203	12494
585	23236	12450
586	23263	12404
587	23301	12364
588	23332	12319
589	23368	12278
590	23402	12235
591	23434	12192
592	23476	12153
593	23508	12110
594	23536	12064
595	23567	12020
596	23600	11978
597	23634	11935
598	23672	11895
599	23704	11852
600	23737	11809
601	23771	11767
602	23802	11723
603	23834	11680
604	23882	11645
605	23912	11601
606	23946	11559
607	23981	11517
608	24011	11473
609	24046	11432
610	24093	11395
611	24125	11352
612	24153	11308
613	24183	11264
614	24213	11220
615	24248	11179
616	24284	11138
617	24319	11097
618	24352	11055
619	24383	11011
620	24419	10970
621	24454	10930
622	24492	10889
623	24525	10847
624	24559	10806
625	24594	10764
626	24642	10729
627	24670	10685
628	24706	10644
629	24744	10604
630	24779	10563
631	24812	10521
632	24849	10481
633	24879	10438
634	24920	10399
635	24954	10358
636	24994	10319
637	25026	10277
638	25062	10236
639	25097	10196
640	25129	10153
641	25169	10114
642	25196	10070
643	25234	10031
644	25271	9991
645	25307	9950
646	25341	9909
647	25377	9869
648	25413	9828
649	25449	9788
650	25486	9748
651	25518	9706
652	25561	9668
653	25594	9627
654	25627	9585
655	25661	9544
656	25695	9503
657	25727	9462
658	25767	9423
659	25799	9381
660	25829	9339
661	25863	9298
662	25903	9259
663	25938	9219
664	25974	9179
665	26006	9137
666	26043	9097
667	26086	9060
668	26126	9021
669	26160	8980
670	26195	8940
671	26225	8898
672	26255	8855
673	26285	8813
674	26320	8773
675	26355	8733
676	26392	8693
677	26424	8652
678	26467	8614
679	26502	8574
680	26538	8534
681	26584	8497
682	26634	8462
683	26672	8422
684	26705	8381
685	26740	8341
686	26785	8304
687	26823	8265
688	26859	8225
689	26898	8186
690	26946	8150
691	26984	8110
692	27016	8069
693	27055	8030
694	27103	7994
695	27142	7955
696	27181	7916
697	27214	7875
698	27253	7836
699	27287	7796
700	27315	7754
701	27346	7713
702	27379	7672
703	27412	7631
704	27447	7591
705	27478	7550
706	27513	7510
707	27553	7472
708	27593	7433
709	27625	7392
710	27653	7350
711	27689	7311
712	27722	7270
713	27755	7230
714	27804	7194
715	27839	7154
716	27868	7112
717	27902	7072
718	27935	7032
719	27970	6992
720	28006	6952
721	28040	6913
722	28080	6874
723	28169	6847
724	28262	6822
725	28332	6790
726	28421	6763
727	28465	6725
728	28511	6687
729	28569	6653
730	28645	6622
731	28687	6584
732	28730	6545
733	28765	6505
734	28799	6465
735	28828	6423
736	28874	6386
737	28912	6346
738	28948	6306
739	28980	6266
740	29019	6226
741	29054	6186
742	29085	6145
743	29121	6106
744	29163	6067
745	29197	6027
746	29230	5987
747	29260	5945
748	29298	5906
749	29335	5867
750	29362	5825
751	29396	5785
752	29432	5745
753	29473	5707
754	29514	5668
755	29548	5628
756	29583	5588
757	29613	5547
758	29649	5508
759	29682	5467
760	29721	5428
761	29759	5389
762	29788	5348
763	29821	5308
764	29852	5268
765	29886	5228
766	29927	5189
767	29959	5149
768	29987	5108
769	30024	5069
770	30067	5030
771	30102	4991
772	30140	4951
773	30169	4911
774	30205	4871
775	30239	4832
776	30290	4795
777	30325	4755
778	30363	4716
779	30394	4676
780	30435	4637
781	30472	4598
782	30508	4558
783	30542	4519
784	30577	4479
785	30609	4439
786	30654	4401
787	30689	4361
788	30721	4321
789	30756	4282
790	30800	4244
791	30836	4205
792	30866	4164
793	30898	4124
794	30931	4085
795	30963	4045
796	30996	4005
797	31026	3965
798	31059	3926
799	31089	3886
800	31129	3847
801	31159	3807
802	31188	3767
803	31231	3729
804	31270	3690
805	31303	3650
806	31352	3613
807	31389	3574
808	31424	3534
809	31458	3495
810	31496	3456
811	31527	3416
812	31558	3377
813	31589	3337
814	31622	3298
815	31656	3258
816	31689	3219
817	31725	3180
818	31770	3142
