iter	Passed	Remaining
0	14	17843
1	33	20208
2	50	20310
3	71	21360
4	87	20987
5	104	20846
6	125	21418
7	142	21177
8	154	20490
9	166	19843
10	179	19427
11	198	19643
12	212	19431
13	225	19104
14	239	18899
15	249	18495
16	262	18290
17	278	18302
18	293	18255
19	310	18315
20	318	17903
21	330	17723
22	344	17647
23	359	17623
24	374	17586
25	383	17301
26	399	17350
27	411	17205
28	425	17163
29	439	17152
30	452	17074
31	464	16939
32	476	16857
33	487	16727
34	503	16761
35	513	16601
36	527	16591
37	543	16618
38	559	16667
39	575	16676
40	588	16637
41	600	16546
42	611	16457
43	625	16425
44	640	16430
45	655	16443
46	665	16316
47	677	16268
48	690	16225
49	701	16124
50	715	16113
51	727	16068
52	741	16055
53	755	16025
54	766	15963
55	779	15919
56	799	16024
57	809	15945
58	823	15916
59	832	15814
60	843	15744
61	858	15759
62	874	15780
63	889	15796
64	904	15800
65	916	15752
66	931	15755
67	944	15719
68	957	15688
69	973	15715
70	989	15730
71	1004	15741
72	1017	15712
73	1028	15655
74	1040	15602
75	1054	15591
76	1069	15592
77	1079	15525
78	1094	15536
79	1104	15460
80	1118	15452
81	1132	15442
82	1145	15422
83	1156	15364
84	1167	15320
85	1181	15299
86	1198	15335
87	1208	15267
88	1221	15249
89	1235	15238
90	1249	15230
91	1265	15236
92	1276	15196
93	1287	15153
94	1303	15160
95	1319	15176
96	1335	15191
97	1353	15216
98	1368	15219
99	1385	15244
100	1403	15268
101	1419	15282
102	1435	15284
103	1450	15289
104	1466	15292
105	1482	15297
106	1498	15302
107	1513	15300
108	1528	15301
109	1538	15248
110	1553	15240
111	1568	15234
112	1583	15236
113	1599	15233
114	1611	15200
115	1625	15191
116	1635	15139
117	1649	15127
118	1665	15131
119	1681	15132
120	1696	15131
121	1708	15094
122	1721	15074
123	1733	15045
124	1747	15027
125	1762	15024
126	1777	15014
127	1787	14971
128	1800	14945
129	1814	14932
130	1827	14916
131	1843	14916
132	1859	14921
133	1875	14916
134	1890	14913
135	1900	14868
136	1921	14906
137	1930	14860
138	1948	14870
139	1963	14866
140	1976	14845
141	1994	14857
142	2008	14844
143	2018	14805
144	2030	14776
145	2045	14763
146	2060	14762
147	2076	14760
148	2092	14763
149	2107	14749
150	2117	14711
151	2130	14689
152	2145	14681
153	2161	14679
154	2172	14645
155	2188	14643
156	2201	14625
157	2214	14603
158	2226	14580
159	2240	14564
160	2252	14538
161	2271	14553
162	2286	14548
163	2301	14537
164	2312	14503
165	2326	14493
166	2340	14480
167	2353	14457
168	2361	14408
169	2375	14392
170	2390	14383
171	2404	14370
172	2414	14335
173	2426	14305
174	2441	14299
175	2458	14302
176	2472	14292
177	2485	14270
178	2496	14238
179	2509	14218
180	2525	14218
181	2540	14209
182	2557	14214
183	2576	14226
184	2591	14216
185	2604	14198
186	2618	14186
187	2630	14158
188	2643	14138
189	2657	14124
190	2672	14116
191	2686	14106
192	2703	14105
193	2718	14097
194	2732	14084
195	2744	14057
196	2758	14044
197	2772	14029
198	2787	14020
199	2801	14008
200	2818	14007
201	2834	14002
202	2846	13978
203	2862	13974
204	2875	13958
205	2888	13935
206	2904	13932
207	2918	13918
208	2932	13906
209	2944	13882
210	2960	13874
211	2972	13851
212	2986	13836
213	3001	13828
214	3017	13823
215	3030	13804
216	3048	13808
217	3058	13779
218	3069	13748
219	3084	13738
220	3097	13721
221	3110	13704
222	3121	13677
223	3135	13660
224	3149	13646
225	3164	13639
226	3177	13621
227	3191	13603
228	3203	13583
229	3216	13563
230	3234	13566
231	3248	13553
232	3265	13551
233	3280	13542
234	3295	13533
235	3306	13505
236	3318	13484
237	3334	13477
238	3349	13468
239	3365	13461
240	3381	13455
241	3394	13438
242	3404	13409
243	3420	13403
244	3439	13408
245	3450	13381
246	3464	13368
247	3479	13355
248	3493	13341
249	3508	13332
250	3515	13292
251	3528	13274
252	3540	13250
253	3549	13219
254	3563	13204
255	3576	13189
256	3590	13175
257	3600	13144
258	3614	13132
259	3629	13121
260	3643	13107
261	3657	13092
262	3668	13069
263	3681	13052
264	3695	13039
265	3709	13025
266	3723	13013
267	3736	12994
268	3747	12970
269	3760	12953
270	3775	12942
271	3790	12932
272	3800	12906
273	3812	12883
274	3827	12874
275	3843	12865
276	3858	12855
277	3871	12839
278	3879	12807
279	3892	12790
280	3908	12781
281	3921	12766
282	3936	12756
283	3945	12726
284	3959	12710
285	3973	12699
286	3988	12689
287	4003	12679
288	4013	12653
289	4025	12631
290	4039	12619
291	4055	12609
292	4069	12597
293	4083	12582
294	4104	12590
295	4107	12543
296	4122	12534
297	4137	12522
298	4146	12496
299	4166	12500
300	4177	12477
301	4193	12468
302	4205	12448
303	4220	12439
304	4237	12433
305	4250	12417
306	4263	12401
307	4275	12383
308	4288	12364
309	4305	12360
310	4320	12351
311	4337	12344
312	4355	12342
313	4369	12329
314	4385	12321
315	4400	12311
316	4415	12297
317	4426	12276
318	4438	12257
319	4451	12242
320	4468	12234
321	4481	12220
322	4496	12208
323	4508	12189
324	4519	12168
325	4533	12153
326	4545	12135
327	4560	12123
328	4573	12107
329	4586	12092
330	4601	12079
331	4616	12068
332	4628	12051
333	4643	12039
334	4656	12022
335	4671	12012
336	4685	11998
337	4700	11986
338	4713	11972
339	4725	11951
340	4738	11937
341	4753	11924
342	4767	11911
343	4779	11893
344	4798	11891
345	4815	11886
346	4831	11876
347	4847	11868
348	4864	11860
349	4879	11849
350	4894	11839
351	4909	11826
352	4922	11812
353	4944	11817
354	4961	11808
355	4974	11792
356	4986	11774
357	5000	11761
358	5015	11748
359	5030	11738
360	5046	11728
361	5063	11721
362	5077	11708
363	5090	11691
364	5103	11676
365	5114	11655
366	5129	11643
367	5146	11636
368	5162	11626
369	5177	11614
370	5191	11600
371	5205	11585
372	5221	11576
373	5234	11559
374	5246	11543
375	5260	11528
376	5274	11514
377	5288	11501
378	5301	11484
379	5316	11472
380	5329	11455
381	5343	11442
382	5360	11434
383	5375	11421
384	5399	11429
385	5419	11429
386	5445	11439
387	5476	11461
388	5503	11473
389	5524	11474
390	5547	11478
391	5571	11484
392	5592	11483
393	5611	11478
394	5633	11481
395	5664	11501
396	5691	11512
397	5715	11516
398	5732	11508
399	5748	11497
400	5763	11483
401	5775	11465
402	5793	11458
403	5812	11452
404	5851	11486
405	5876	11491
406	5897	11490
407	5928	11508
408	5947	11502
409	5966	11495
410	5982	11484
411	5996	11469
412	6011	11456
413	6027	11443
414	6045	11436
415	6062	11424
416	6077	11412
417	6091	11396
418	6105	11379
419	6119	11365
420	6132	11346
421	6142	11325
422	6154	11304
423	6169	11291
424	6186	11280
425	6202	11269
426	6214	11250
427	6232	11241
428	6247	11227
429	6260	11210
430	6271	11189
431	6284	11172
432	6294	11149
433	6303	11126
434	6318	11111
435	6332	11097
436	6346	11080
437	6366	11075
438	6381	11062
439	6396	11048
440	6408	11029
441	6419	11008
442	6433	10993
443	6448	10980
444	6463	10966
445	6480	10955
446	6493	10939
447	6509	10926
448	6532	10926
449	6550	10918
450	6565	10904
451	6581	10891
452	6596	10877
453	6612	10864
454	6625	10847
455	6633	10823
456	6647	10808
457	6660	10790
458	6675	10776
459	6688	10759
460	6698	10738
461	6709	10718
462	6721	10699
463	6738	10688
464	6750	10669
465	6767	10658
466	6790	10657
467	6812	10654
468	6829	10644
469	6848	10636
470	6864	10625
471	6880	10612
472	6900	10605
473	6914	10590
474	6928	10575
475	6946	10565
476	6961	10552
477	6977	10538
478	6993	10526
479	7009	10513
480	7025	10501
481	7039	10486
482	7055	10473
483	7067	10455
484	7078	10436
485	7091	10417
486	7107	10405
487	7123	10393
488	7134	10373
489	7149	10359
490	7162	10342
491	7175	10326
492	7189	10310
493	7204	10296
494	7219	10282
495	7231	10264
496	7243	10246
497	7257	10231
498	7272	10216
499	7288	10203
500	7300	10186
501	7319	10176
502	7330	10158
503	7344	10142
504	7357	10125
505	7371	10110
506	7386	10096
507	7396	10075
508	7410	10060
509	7424	10044
510	7439	10030
511	7453	10015
512	7464	9996
513	7484	9988
514	7498	9974
515	7512	9958
516	7524	9940
517	7538	9925
518	7554	9912
519	7571	9901
520	7586	9887
521	7602	9873
522	7612	9854
523	7624	9836
524	7638	9820
525	7652	9806
526	7668	9793
527	7682	9777
528	7698	9764
529	7712	9749
530	7726	9734
531	7738	9716
532	7752	9701
533	7769	9690
534	7782	9674
535	7801	9665
536	7818	9653
537	7831	9636
538	7850	9628
539	7867	9615
540	7878	9597
541	7891	9580
542	7908	9569
543	7920	9550
544	7933	9534
545	7945	9517
546	7957	9499
547	7972	9484
548	7984	9467
549	7998	9452
550	8014	9440
551	8030	9426
552	8047	9415
553	8060	9398
554	8076	9385
555	8089	9369
556	8105	9356
557	8117	9339
558	8134	9327
559	8149	9313
